date,Date,arrivals,departures
2000,2000,722661.6667,717984.1667
2001,2001,721841.6667,714730
2002,2002,716504.1667,714888.3333
2003,2003,705428.3333,700220.8333
2004,2004,825540.8333,822567.5
2005,2005,888841.6667,878325
2006,2006,909215,895350
2007,2007,967818.3333,956253.3333
2008,2008,1009545.833,983710
2009,2009,1041226.667,1024110.833
2010,2010,1131058.333,1122517.5
2011,2011,1193761.667,1179474.167
2012,2012,1260044.167,1237460.833
2013,2013,1328851.667,1311386.667
2014,2014,1397727.5,1383276.667
2015,2015,1465022.5,1450230
2016,2016,1582470.833,1563905.833
2017,2017,1677345.833,1660118.333
2018,2018,1761632.5,1742540.833
2019,2019,1801566.667,1783290.833
2020,2020,412450,378609.1667
2021,2021,63755,73701.66667
2022,2022,809180.8333,792160.8333
2023,2023,1521155.833,1484167.5
2024,2024,1748000,1729796.667
2025,2025,1886605.833,1865644.167
2026,2026,1772880,1634995
